,,Decimal,,,Hex,,,,,,,
Code,LSB,Device,Subdevice,Function,Device,Function,Width,Product,Key,Binary,Binary,Binary LSB
0xFFB847,0x00FF1DE2,0,-1,29,0x0,0x1D,32,Merkury Cafe Lights,Green,00000000 11111111 10111000 01000111,00000000111111111011100001000111,00000000111111110001110111100010
0xFF7887,0x00FF1EE1,0,-1,30,0x0,0x1E,32,Merkury Cafe Lights,6H,00000000 11111111 01111000 10000111,00000000111111110111100010000111,00000000111111110001111011100001
0xFFF807,0x00FF1FE0,0,-1,31,0x0,0x1F,32,Merkury Cafe Lights,Blue,00000000 11111111 11111000 00000111,00000000111111111111100000000111,00000000111111110001111111100000
0xFF02FD,0x00FF40BF,0,-1,64,0x0,0x40,32,Merkury Cafe Lights,M5,00000000 11111111 00000010 11111101,00000000111111110000001011111101,00000000111111110100000010111111
0xFF32CD,0x00FF4CB3,0,-1,76,0x0,0x4C,32,Merkury Cafe Lights,M6,00000000 11111111 00110010 11001101,00000000111111110011001011001101,00000000111111110100110010110011
0xFFB24D,0x00FF4DB2,0,-1,77,0x0,0x4D,32,Merkury Cafe Lights,M4,00000000 11111111 10110010 01001101,00000000111111111011001001001101,00000000111111110100110110110010
0x1FE807F,0x807F01FE,128,-1,1,0x80,0x1,32,OmniBreeze Premium Tower Fan with Internal Oscillation,Fan Speed,00000001 11111110 10000000 01111111,00000001111111101000000001111111,10000000011111110000000111111110
0x1FEC03F,0x807F03FC,128,-1,3,0x80,0x3,32,OmniBreeze Premium Tower Fan with Internal Oscillation,Oscillate,00000001 11111110 11000000 00111111,00000001111111101100000000111111,10000000011111110000001111111100
0x1FEE01F,0x807F07F8,128,-1,7,0x80,0x7,32,OmniBreeze Premium Tower Fan with Internal Oscillation,Sleep Timer,00000001 11111110 11100000 00011111,00000001111111101110000000011111,10000000011111110000011111111000
0x1FE906F,0x807F09F6,128,-1,9,0x80,0x9,32,OmniBreeze Premium Tower Fan with Internal Oscillation,Breeze Mode,00000001 11111110 10010000 01101111,00000001111111101001000001101111,10000000011111110000100111110110
0x1FE48B7,0x807F12ED,128,-1,18,0x80,0x12,32,OmniBreeze Premium Tower Fan with Internal Oscillation,Auto Mode,00000001 11111110 01001000 10110111,00000001111111100100100010110111,10000000011111110001001011101101
0x1FE58A7,0x807F1AE5,128,-1,26,0x80,0x1A,32,OmniBreeze Premium Tower Fan with Internal Oscillation,Power,00000001 11111110 01011000 10100111,00000001111111100101100010100111,10000000011111110001101011100101
0x1FE7887,0x807F1EE1,128,-1,30,0x80,0x1E,32,OmniBreeze Premium Tower Fan with Internal Oscillation,Mute,00000001 11111110 01111000 10000111,00000001111111100111100010000111,10000000011111110001111011100001
0xFFE01F,0xFF07F8,0,-1,7,0x0,0x7,32,QFX TMS-801 speaker,EQ,,,
0xFF10EF,0xFF08F7,0,-1,8,0x0,0x8,32,QFX TMS-801 speaker,4,,,
